Facility Name,Area / Location,Sports Offered,Indoor / Outdoor,Swimming Pool,Gym,Exact Opening Hours,Typical Hourly Rate (PKR)
Ace Badminton Academy,PECHS,Badminton,Indoor,No,No,4:00 PM – 9:00 PM,"1,200 – 2,300"
Ace Badminton Academy,PECHS,Badminton,Indoor,No,No,4:00 PM – 9:00 PM,"1,900 – 3,100"
Ace Badminton Arena,Federal B Area,Badminton,Indoor,No,No,4:00 PM – 9:00 PM,"1,200 – 2,400"
Ace Badminton Hall,North Nazimabad,Badminton,Indoor,No,No,3:00 PM – 11:00 PM,"1,600 – 2,900"
Ace Basketball Court,PECHS,Basketball,Outdoor,No,No,5:00 PM – 10:00 PM,"1,500 – 2,800"
Ace Padel Arena,DHA Phase 1,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"9,000 – 13,000"
Ace Padel Courts,Clifton,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"6,000 – 9,800"
Ace Play Arena,DHA Phase 6,Indoor Cricket,Indoor,No,No,5:00 PM – 1:00 AM,"3,800 – 6,200"
Ace Shuttle Arena,Clifton,Badminton,Indoor,No,No,3:00 PM – 11:00 PM,"1,800 – 3,000"
Ace Shuttle Badminton,PECHS,Badminton,Indoor,No,No,4:00 PM – 9:00 PM,"1,300 – 2,400"
Ace Shuttle Badminton,PECHS,Badminton,Indoor,No,No,4:00 PM – 9:00 PM,"1,600 – 2,800"
Ace Sports Complex,PECHS,"Indoor Cricket, Badminton",Indoor,No,Yes,10:00 AM – 12:00 AM,"3,400 – 5,900"
Ace Swim Academy,DHA Phase 8,Swimming Pool,Outdoor,Yes,No,6:00 AM – 8:00 PM,"1,500 – 2,500"
Ace Table Tennis,Gulberg,Table Tennis,Indoor,No,No,4:00 PM – 9:00 PM,"850 – 1,400"
Ace Tennis Club,Clifton,Tennis,Outdoor,No,No,7:00 AM – 10:00 PM,"3,800 – 6,200"
AceBadminton Arena,PECHS,Badminton,Indoor,No,No,3:00 PM – 10:00 PM,"1,900 – 3,300"
AceCourt Badminton,PECHS,Badminton,Indoor,No,No,3:00 PM – 10:00 PM,"2,200 – 3,900"
AceStrike Padel,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"8,500 – 13,500"
AceTennis Club,Clifton,Tennis,Outdoor,No,No,7:00 AM – 10:00 PM,"3,900 – 6,300"
Active Life Sports Club,Malir,"Gym, Cricket Nets",Indoor/Outdoor,No,Yes,6:00 AM – 9:00 PM,"600 – 1,200"
Active Zone Sports,Model Colony,"Indoor Cricket, Gym",Indoor,No,Yes,9:00 AM – 12:00 AM,"2,500 – 4,000"
Al-Badar Sports Ground,Federal B Area,Cricket,Outdoor,No,No,6:00 AM – 8:00 PM,0
All-Star Sports Zone,Gulshan-e-Johar,"Indoor Cricket, Badminton",Indoor,No,Yes,10:00 AM – 12:00 AM,"3,300 – 5,700"
Alpha Fitness Arena,Bahadurabad,"Gym, Table Tennis",Indoor,No,Yes,6:00 AM – 11:00 PM,"500 – 1,200"
Alpha Fitness Club,North Nazimabad,Gym,Indoor,No,Yes,6:00 AM – 11:00 PM,"1,200 – 2,100"
Apex Sports Center,Gulshan-e-Iqbal,"Tennis, Gym",Indoor/Outdoor,No,Yes,7:00 AM – 9:00 PM,"3,200 – 5,000"
Apex Sports Club,Gulshan-e-Iqbal,"Cricket, Gym, Tennis",Indoor/Outdoor,No,Yes,7:00 AM – 10:00 PM,"2,400 – 4,200"
Apex Sports Club,Gulshan-e-Iqbal,"Cricket, Gym, Tennis",Indoor/Outdoor,No,Yes,7:00 AM – 10:00 PM,"2,900 – 4,700"
Aqua Splash Center,Gulshan-e-Iqbal,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,000 – 1,800"
Aqua Swim Academy,Malir,Swimming Pool,Indoor,Yes,No,7:00 AM – 9:00 PM,"3,500 – 5,100"
Aqua Swim Center,DHA Phase 6,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"3,800 – 5,600"
Aqua Zone Swimming,Gulshan-e-Maymar,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"700 – 1,200"
AquaClub Swimming Pool,Gulshan-e-Johar,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,300 – 2,300"
AquaEdge Pool,Gulshan-e-Hadeed,Swimming Pool,Outdoor,Yes,No,6:00 AM – 7:00 PM,"900 – 1,600"
AquaEdge Pool,Gulshan-e-Hadeed,Swimming Pool,Outdoor,Yes,No,6:00 AM – 7:00 PM,"900 – 1,600"
AquaFit Pool,Federal B Area,Swimming Pool,Indoor,Yes,No,6:00 AM – 8:00 PM,"800 – 1,400"
AquaFit Pool,North Nazimabad,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"900 – 1,600"
AquaFit Swim Club,Saddar,Swimming Pool,Indoor,Yes,No,7:00 AM – 8:00 PM,"1,000 – 1,700"
AquaFit Swim Club,PECHS Block 6,Swimming Pool,Indoor,Yes,No,6:00 AM – 10:00 PM,"1,800 – 3,000"
AquaFit Swimming Club,DHA Phase 4,"Swimming Pool, Gym",Indoor,Yes,Yes,6:00 AM – 10:00 PM,"1,800 – 3,000"
AquaFun Pool,Gulshan-e-Hadeed,Swimming Pool,Outdoor,Yes,No,6:00 AM – 7:00 PM,"1,050 – 1,850"
AquaLife Swim Club,Nazimabad,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,000 – 1,700"
AquaLife Swim Club,Gulshan-e-Iqbal,Swimming Pool,Indoor,Yes,No,7:00 AM – 8:00 PM,"3,800 – 5,600"
AquaLife Swimming Pool,DHA Phase 6,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,600 – 2,600"
AquaPlus Swimming Club,DHA Phase 1,Swimming Pool,Indoor,Yes,No,6:00 AM – 10:00 PM,"2,200 – 3,800"
AquaPro Swim Center,North Nazimabad,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,600 – 3,000"
AquaPro Swim School,North Nazimabad,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,100 – 1,900"
AquaPulse Swimming Pool,DHA Phase 6,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,800 – 2,800"
AquaSplash Pool,Gulshan-e-Hadeed,Swimming Pool,Outdoor,Yes,No,6:00 AM – 7:00 PM,"900 – 1,600"
AquaSplash Pool,Gulshan-e-Johar,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,200 – 2,100"
AquaSplash Pool,Gulshan-e-Johar,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,350 – 2,350"
AquaWave Swim Club,Gulshan-e-Iqbal,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"4,000 – 5,900"
AquaZone Pool,Gulshan-e-Hadeed,Swimming Pool,Outdoor,Yes,No,6:00 AM – 7:00 PM,"950 – 1,700"
Arena 360 Sports,DHA Phase 6,"Cricket, Football",Outdoor,No,No,6:00 AM – 12:00 AM,"4,500 – 7,000"
Arena 77,Clifton,"Cricket Nets, Fitness",Indoor,No,Yes,7:00 AM – 10:00 PM,"2,000 – 3,500"
Arena Padel Courts,Clifton,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"10,000 – 15,000"
Axis Indoor Arena,PECHS,Indoor Cricket,Table Tennis,No,No,10:00 AM – 11:00 PM,0
Badminton Zone PECHS,PECHS,Badminton,Indoor,No,No,3:00 PM – 9:00 PM,"2,200 – 3,400"
Bahadurabad Cricket Club,Bahadurabad,Cricket,Outdoor,No,No,6:00 AM – 8:00 PM,1500 - 3500
Beach Fitness Court,Clifton Beach,Outdoor Fitness,Outdoor,No,No,Sunrise – Sunset,0
Beach Soccer Arena,Seaview,Football,Outdoor,No,No,Sunset – 10:00 PM,0
Beach View Sports Club,Clifton,"Volleyball, Gym",Outdoor,No,Yes,6:00 AM – 10:00 PM,"500 – 1,000"
Beachside Cricket Nets,Seaview,Cricket Nets,Outdoor,No,No,6:00 AM – 9:00 PM,"1,500 – 3,000"
Beachside Volleyball Court,Seaview,Volleyball,Outdoor,No,No,Sunset – 10:00 PM,0
Blitz Cricket Nets,Landhi,Cricket Nets,Outdoor,No,No,6:00 AM – 8:00 PM,"1,400 – 2,200"
Blue Lagoon Swim Academy,Clifton,Swimming Pool,Indoor,Yes,No,6:30 AM – 9:00 PM,"4,200 – 6,100"
Blue Lagoon Swim Center,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"4,300 – 6,500"
Blue Ocean Swim Academy,Malir,Swimming Pool,Indoor,Yes,No,7:00 AM – 9:00 PM,"2,000 – 3,500"
Blue Ocean Swim Pool,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"3,700 – 5,700"
Blue Pearl Swim Club,DHA Phase 2,Swimming Pool,Indoor,Yes,No,6:00 AM – 10:00 PM,"1,800 – 3,200"
Blue Wave Swim Academy,Malir,Swimming Pool,Indoor,Yes,No,7:00 AM – 9:00 PM,"2,700 – 4,200"
Blue Wave Swim Academy,Malir,Swimming Pool,Indoor,Yes,No,7:00 AM – 9:00 PM,"3,600 – 5,200"
Blue Wave Swim Center,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"4,000 – 6,200"
Blue Wave Swim Club,DHA Phase 5,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,200 – 2,000"
